"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Escobar, Eduardo",500871,2019,699,18.6,7.2,".341",".326",38.6,7,31.4,"96.833323953","92.47242407",24.8,52.6
"Rendon, Anthony",543685,2019,646,13.3,12.4,".413",".414",38.7,12,46.6,"100.105818761","94.364729594",12.9,43.1
"Cabrera, Asdrúbal",452678,2019,514,20,11.1,".331",".317",37.3,5.7,35.3,"97.630785829","92.935685272",20.6,45.5
"Adames, Willy",642715,2019,584,26.2,7.9,".313",".320",36.1,8.4,35.6,"99.072984309","93.592578431",27.3,47
"Rizzo, Anthony",519203,2019,613,14,11.6,".390",".388",36.8,6.8,37,"100.200593521","94.167510706",19.7,45.7
"Turner, Trea",607208,2019,569,19.9,7.6,".356",".339",29.8,6.8,42,"101.230091659","94.839620073",23.4,46.9
"Turner, Justin",457759,2019,549,16,9.3,".370",".377",38.6,7.8,43,"99.316567333","94.054303103",17.2,45.5
"Hosmer, Eric",543333,2019,667,24.4,6,".309",".304",29.1,7.2,46,"102.123969913","95.383913595",28.9,50
"Lindor, Francisco",596019,2019,654,15,7,".349",".333",29.8,7.5,41,"101.130645418","94.847008982",17.1,51.4
"Polanco, Jorge",593871,2019,704,16.5,8.5,".352",".341",41.6,6.7,33.1,"97.46599549","92.78121002",17.5,44.9
"Cain, Lorenzo",456715,2019,623,17,8,".302",".335",31.1,4.1,42.1,"100.238276903","94.349469379",19.2,44.7
"Martinez, J.D.",502110,2019,657,21,11,".386",".400",41.9,12,48.3,"102.267810181","95.582029229",26.7,49.5
"Vázquez, Christian",543877,2019,521,19.4,6.3,".331",".313",38.5,5.9,40.3,"98.607970314","93.531031811",20.5,49.9
"Smith, Mallex",605480,2019,566,24.9,7.4,".278",".256",29,2.2,20.1,"94.189873149","91.140372155",28.2,48.6
"Santana, Carlos",467793,2019,686,15.7,15.7,".380",".367",29.1,9.6,44.9,"101.70770382","95.190037742",20.4,39.5
"Jiménez, Eloy",650391,2019,504,26.6,6,".343",".347",32.4,12.8,47.9,"102.681413214","95.727878512",32.8,49.9
"Alonso, Pete",624413,2019,693,26.4,10.4,".384",".380",36.9,15.8,42.7,"103.52161466","95.867841481",28,46.6
"McNeil, Jeff",643446,2019,567,13.2,6.2,".384",".350",34.2,4.8,36.7,"98.062735349","93.296269953",19.9,60.1
"Calhoun, Kole",594777,2019,632,25.6,11.1,".330",".339",35.2,11.2,42.6,"99.943105052","94.209946136",32.1,48.2
"Hoskins, Rhys",656555,2019,705,24.5,16.5,".347",".337",31,9.7,38.7,"99.42720995","93.97812603",23.2,39.2
"Soto, Juan",665742,2019,659,20,16.4,".394",".409",36.3,12.3,47.8,"102.137286408","95.569584745",24,40.8
"Bryant, Kris",592178,2019,634,22.9,11.7,".379",".349",35.8,9.3,34.1,"98.53167269","93.281246777",28.4,48.5
"Cabrera, Miguel",408234,2019,549,19.7,8.7,".318",".331",38.5,6.4,44.4,"100.398112564","94.438305641",24.4,49.6
"Núñez, Renato",600524,2019,599,23.9,7.3,".323",".335",32.1,10.7,40.9,"101.416437214","94.827385786",27.4,49.5
"Bradley Jr., Jackie",598265,2019,567,27.3,9.9,".314",".318",30.5,9.6,44.8,"100.737430117","94.682078123",32.6,48.1
"Grichuk, Randal",545341,2019,628,26,5.6,".307",".304",31.3,8.5,39.8,"100.740131792","94.423631368",28.1,50.2
"Pham, Tommy",502054,2019,654,18.8,12.4,".349",".354",29.7,7.9,45,"101.772675315","95.171833612",20.2,38.4
"Story, Trevor",596115,2019,656,26.5,8.8,".380",".341",36.5,8.6,46,"101.223764423","95.034883125",26.4,48.1
"LeMahieu, DJ",518934,2019,655,13.7,7,".375",".378",36.2,7.5,48.7,"101.290348333","95.241788097",16,45.6
"Votto, Joey",458015,2019,608,20.2,12.5,".332",".347",40.7,6.9,38.2,"98.39220904","93.284395747",19.6,41.5
"Garcia, Leury",544725,2019,618,22.5,3.4,".294",".272",30.3,3.8,29.9,"97.233707717","92.660403959",24.6,54.4
"Rojas, Miguel",500743,2019,526,11.8,6.1,".305",".303",31.9,2.6,28.8,"96.91060967","92.477684269",16.5,47.1
"Albies, Ozzie",645277,2019,702,16,7.7,".354",".346",36.8,6.6,34,"98.232348151","93.247307887",22.9,55.6
"Harper, Bryce",547180,2019,682,26.1,14.5,".365",".387",37.6,14.8,45.6,"103.137354264","96.043547766",33.8,48.7
"Bogaerts, Xander",593428,2019,698,17.5,10.9,".390",".356",35.1,8.6,44.5,"101.168690363","94.874752258",20.9,41.1
"Suárez, Eugenio",553993,2019,662,28.5,10.6,".381",".355",38,13.8,40.8,"100.844864896","94.608867917",28.7,44.4
"Anderson, Brian",605119,2019,520,21.9,8.5,".342",".340",31.3,8.9,46,"100.764886494","94.722101667",27.4,47.5
"Goldschmidt, Paul",502671,2019,682,24.3,11.4,".346",".359",36.4,11.3,42.4,"101.099060419","94.813832214",26.3,46.5
"Davis, Khris",501981,2019,533,27.4,8.8,".289",".317",31.5,9.8,40.4,"100.123268606","94.332532128",34.9,51.8
"Rosario, Eddie",592696,2019,590,14.6,3.7,".329",".327",33.2,8.5,36,"98.424787531","93.352567757",21.3,59.3
"Villar, Jonathan",542340,2019,714,24.6,8.5,".335",".315",30.3,6.8,37.1,"100.064624522","94.076027283",27.5,49.8
